SID,CP_ESTUDIANTE,CP_INSTITUCION,DISTANCIA_KM,METODO_CALCULO,FUENTE_DATOS,FECHA_ACT
1,03100,06040,28.4,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-16
2,06300,06040,6.2,GEODESICA_CP,INEGI_DENUE_2024,2024-12-11
3,50140,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-27
4,15040,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-06
5,08400,06040,20.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-16
6,16050,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-23
7,15530,06040,N/A,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-06
8,09820,06040,31.3,GEODESICA_CP,INEGI_DENUE_2024,2025-01-13
9,15890,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-17
10,55449,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-17
11,16050,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-18
12,09240,06040,29.9,GEODESICA_CP,INEGI_DENUE_2024,2024-12-06
13,56158,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-03
14,0660,06040,6.8,GEODESICA_CP,INEGI_DENUE_2024,2024-12-02
15,06600,06040,8.8,GEODESICA_CP,SEPOMEX_2024,2025-01-20
16,06350,06040,3.6,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-04
17,06250,06040,6.4,GEODESICA_CP,SEPOMEX_2024,2025-01-03
18,15870,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-23
19,NULL,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-29
20,14100,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-11
21,54244,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-19
22,14100,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2024-12-18
23,55430,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-25
24,03500,06040,21.1,GEODESICA_CP,SEPOMEX_2024,2024-12-05
25,14630,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-01
26,11570,06040,44.7,GEODESICA_CP,SEPOMEX_2024,2024-12-03
27,56258,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-18
28,52000,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-05
29,01040,06040,44.5,GEODESICA_CP,INEGI_DENUE_2024,2025-02-01
30,15840,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-01
31,13200,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-10
32,05100,06040,11.4,GEODESICA_CP,INEGI_DENUE_2024,2024-12-19
33,14430,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-30
34,12100,06040,N/A,GEODESICA_CP,SEPOMEX_2024,2024-12-08
35,13010,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-10
36,08000,06040,16.5,GEODESICA_CP,INEGI_DENUE_2024,2024-12-31
37,1553,06040,45.0 ,GEODESICA_CP,INEGI_DENUE_2024,2024-12-26
38,50220,06040,45.0,GEODESICA_CP,SEPOMEX_2024,2025-01-31
39,51082,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-10
40,55336,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2024-12-09
41,15510,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-13
42,54050,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2025-01-16
43,54300,06040,45.0,GEODESICA_CP,INEGI_DENUE_2024,2025-01-01
44,13020,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-14
45,04010,06040,19.4,GEODESICA_CP,INEGI_DENUE_2024,2025-01-14
46,14640,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-04
47,13070,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-28
48,11810,06040,45.0,GEODESICA_CP,INEGI_MARCO_GEO_2024,2024-12-24
49,09600,06040,29.3,GEODESICA_CP,INEGI_DENUE_2024,2025-01-30
