CVE_EVALUACION,CVE_SOLICITUD,SID,CVE_BECA,CVE_REGLA,PORCENTAJE_OTORGADO,MONTO_OTORGADO,RESULTADO,OBSERVACIONES,EVALUADOR,FECHA_EVALUACION,FECHA_ACT
EVA202500001,SOL202500001,3643,BEC003,REG00003,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_10,2025-02-18,2025-02-18
EVA202500002,SOL202500003,111,BEC004,REG00021,100.0,1173.56,APROBADA,Aprobada por comité de becas,ADM_BECAS_05,2025-02-03,2025-02-03
EVA202500003,SOL202500006,4966,BEC004,REG00021,100.0,1169.24,APROBADA,Cumple criterios establecidos,ADM_BECAS_10,2025-02-13,2025-02-13
EVA202500004,SOL202500011,3687,BEC003,REG00004,10.0,461.96,APROBADA,Documentación completa y verificada,ADM_BECAS_03,2025-02-18,2025-02-18
EVA202500005,SOL202500012,7484,BEC004,REG00022,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_02,2025-02-11,2025-02-11
EVA202500006,SOL202500013,3845,BEC003,REG00003,25.0,376.44,APROBADA,Documentación completa y verificada,ADM_BECAS_06,2025-03-10,2025-03-10
EVA202500007,SOL202500014,1102,BEC004,REG00021,100.0,2201.47,APROBADA,Aprobada por comité de becas,ADM_BECAS_07,2025-02-16,2025-02-16
EVA202500008,SOL202500015,1344,BEC003,REG00004,10.0,120.85,APROBADA,Cumple criterios establecidos,ADM_BECAS_05,2025-03-01,2025-03-01
EVA202500009,SOL202500016,2888,BEC004,REG00021,100.0,1839.79,APROBADA,Cumple criterios establecidos,ADM_BECAS_04,2025-02-21,2025-02-21
EVA202500010,SOL202500017,1772,BEC001,REG00037,0.0,0.0,RECHAZADA,Documentación incompleta,ADM_BECAS_08,2025-02-14,2025-02-14
EVA202500011,SOL202500018,4472,BEC002,REG00041,30.0,584.31,APROBADA,Aprobada por comité de becas,ADM_BECAS_01,2025-02-13,2025-02-13
EVA202500012,SOL202500019,2174,BEC002,REG00041,0.0,0.0,RECHAZADA,Ya cuenta con beca vigente del mismo tipo,ADM_BECAS_04,2025-02-09,2025-02-09
EVA202500013,SOL202500020,9484,BEC003,REG00004,10.0,164.81,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_02,2025-02-22,2025-02-22
EVA202500014,SOL202500021,6269,BEC002,REG00041,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_01,2025-02-28,2025-02-28
EVA202500015,SOL202500022,6563,BEC004,REG00021,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_03,2025-03-08,2025-03-08
EVA202500016,SOL202500023,8100,BEC004,REG00021,100.0,4179.48,APROBADA,Aprobada por comité de becas,ADM_BECAS_02,2025-02-19,2025-02-19
EVA202500017,SOL202500024,5331,BEC003,REG00001,50.0,1333.23,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_03,2025-02-20,2025-02-20
EVA202500018,SOL202500026,8893,BEC004,REG00021,0.0,0.0,RECHAZADA,Cuenta con materias reprobadas,ADM_BECAS_08,2025-02-17,2025-02-17
EVA202500019,SOL202500027,8867,BEC002,REG00041,0.0,0.0,RECHAZADA,Ingreso familiar supera el tope establecido,ADM_BECAS_10,2025-03-01,2025-03-01
EVA202500020,SOL202500028,9308,BEC003,REG00002,0.0,0.0,RECHAZADA,No cumple promedio mínimo requerido,ADM_BECAS_03,2025-02-21,2025-02-21
EVA202500021,SOL202500029,6888,BEC004,REG00021,0.0,0.0,CANCELADA,,ADM_BECAS_01,2025-02-18,2025-02-18
EVA202500022,SOL202500031,2454,BEC004,REG00022,75.0,3498.64,APROBADA,Documentación completa y verificada,ADM_BECAS_01,2025-03-02,2025-03-02
EVA202500023,SOL202500032,7325,BEC002,REG00041,30.0,1062.64,APROBADA,Aprobada por comité de becas,ADM_BECAS_08,2025-03-10,2025-03-10
EVA202500024,SOL202500033,4743,BEC001,REG00037,100.0,1601.03,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_07,2025-03-06,2025-03-06
EVA202500025,SOL202500034,1263,BEC003,REG00004,10.0,170.81,APROBADA,Cumple requisitos académicos y socioeconómicos,ADM_BECAS_08,2025-03-01,2025-03-01
