CVE_SOLICITUD,SID,MATRICULA,CVE_BECA,PERIODO,MOTIVO,INGRESO_FAMILIAR,NUM_DEPENDIENTES,TRABAJA,HORAS_TRABAJO,ESTADO_SOLICITUD,FECHA_SOLICITUD,FECHA_ACT
SOL202500001,3643,2024B03643,BEC003,2025CA,Mi madre es la única proveedora y su ingreso no cubre todo ,5595.62,4,False,0,RECHAZADA,2025-02-12,2025-02-01
SOL202500002,1992,2025B01992,BEC003,2025CA,Necesito la beca para poder dedicarme de tiempo completo a mis estudios,8443.71,2,False,0,EN_REVISION,2024-12-17,2025-01-22
SOL202500003,111,2020A00111,BEC004,2025CA,Necesito apoyo económico para continuar mis estudios,7309.27,2,True,20,APROBADA,2024-12-15,2025-03-06
SOL202500004,5289,2022B05289,BEC003,2025CA,Mi familia depende económicamente de mí y de mi preparación profesional,6826.27,3,True,20,EN_REVISION,2025-01-20,2025-01-10
SOL202500005,1463,2024C01463,BEC004,2024CC,Mi familia no cuenta con los recursos suficientes para cubrir la colegiatura,17046.56,7,False,0,PENDIENTE,2025-02-27,2025-01-14
SOL202500006,4966,2018C04966,BEC004,2025CA,Vengo de una zona rural y los costos en la ciudad son muy altos,6840.5,8,False,0,APROBADA,2025-02-05,2025-01-26
SOL202500007,9142,2022B09142,BEC003,2024CC,Mi padre perdió su empleo y necesitamos apoyo urgente ,7704.87,5,False,0,PENDIENTE,2024-12-07,2025-02-06
SOL202500008,8378,2020C08378,BEC002,2025CA,Mi padre perdió su empleo y necesitamos apoyo urgente,14460.54,3,True,30,PENDIENTE,2024-12-27,2025-03-09
SOL202500009,7890,2023B07890,BEC002,2025CA,Soy madre soltera y necesito apoyo para continuar mi formación,8017.79,5,False,0,EN_REVISION,2025-01-15,2025-02-11
SOL202500010,9370,2024B09370,BEC004,2024CC,Tengo hermanos menores que también necesitan apoyo escolar,4430.78,5,False,0,EN_REVISION,2024-12-06,2025-03-11
SOL202500011,3687,2020A03687,BEC003,2024CC,Estoy a punto de abandonar la escuela por falta de recursos,8229.36,6,True,15,APROBADA,2024-11-03,2025-01-19
SOL202500012,7484,2021B07484,BEC004,2025CA,Tengo hermanos menores que también necesitan apoyo escolar,15226.76,3,False,0,RECHAZADA,2025-02-26,2025/02/07
SOL202500013,3845,2021A03845,BEC003,2025CA,Tengo hermanos menores que también necesitan apoyo escolar,6549.59,4,False,0,APROBADA,2025-02-19,2025-02-10
